python3 srcs/run_cli.py
> List of all isomorphic sets : 
   id  mult_bound      nb_molecules
  394  False                      4
  395  False                      5
  396  False                      9
  397  False                      6
  398  False                      2
  399  False                      4
  400  False                      2
  401  False                      2
  402  False                      2
  403  False                      2
  404  False                     12
  405  False                      2
  406  False                      5
  407  False                      4
  408  False                     24
  409  False                      2
  410  False                      2
  411  False                      2
  412  False                      4
  413  False                      6
  414  False                     10
  415  False                      1
  416  False                      2
  417  False                      6
  418  False                      2
  419  False                      2
  420  False                      2
  421  False                      2
  422  False                      1
  423  False                      2
  424  False                      4
  425  False                      3
  426  False                      2
  427  False                      2
  428  False                      2
  429  False                      2
  430  False                      2
  431  False                      2
  432  False                      8
  433  False                     12
  434  False                      6
  435  False                      5
  436  False                      2
  437  False                      6
  438  False                      4
  439  False                      1
  440  False                      2
  441  False                      2
  442  False                      3
  443  False                      2
  444  False                      3
  445  False                      4
  446  False                      2
  447  False                      1
  448  False                      4
  449  False                      3
  450  False                     13
  451  False                      2
  452  False                      3
  453  False                      1
  454  False                      1
  455  False                      2
  456  False                      1
  457  False                      1
  458  False                      1
  459  False                      2
  460  False                      1
  461  False                      3
  462  False                      2
  463  False                      6
  464  False                      2
  465  False                     14
  466  False                      2
  467  False                      3
  468  False                      2
  469  False                      2
  470  False                      2
  471  False                      2
  472  False                      4
  473  False                      1
  474  False                     12
  475  False                      3
  476  False                     30
  477  False                      4
  478  False                      1
  479  False                      4
  480  False                      4
  481  False                      2
  482  False                     16
  483  False                      1
  484  False                      3
  485  False                      2
  486  False                      2
  487  False                      7
  488  False                      2
  489  False                      5
  490  False                     16
  491  False                      5
  492  False                      3
  493  False                      9
  494  False                      1
  495  False                      2
  496  False                      2
  497  False                      2
  498  False                      2
  499  False                      4
  500  False                      3
  501  False                      2
  502  False                      2
  503  False                      2
  504  False                      2
  505  False                      2
  506  False                      6
  507  False                      4
  508  False                      3
  509  False                      6
  510  False                      4
  511  False                      2
  512  False                      1
  513  False                      2
  514  False                     10
  515  False                     14
  516  False                      1
  517  False                      1
  518  False                      2
  519  False                      2
  520  False                      2
  521  False                      2
  522  False                      4
  523  False                      6
  524  False                      4
  525  False                      2
  526  False                      2
  527  False                      2
  528  False                      2
  529  False                      2
  530  False                      2
  531  False                      3
  532  False                      3
  533  False                      2
  534  False                      2
  535  False                      5
  536  False                      7
  537  False                     11
  538  False                      1
  539  False                      3
  540  False                      1
  541  False                      2
  542  False                      4
  543  False                      2
  544  False                      2
  545  False                      4
  546  False                      2
  547  False                      1
  548  False                      2
  549  False                      2
  550  False                      2
  551  False                      4
  552  False                      6
  553  False                      2
  554  False                     10
  555  False                      2
  556  False                      2
  557  False                      2
  558  False                      7
  559  False                      1
  560  False                      2
  561  False                      4
  562  False                      1
  563  False                      1
  564  False                      2
  565  False                      6
  566  False                      4
  567  False                      1
  568  False                      1
  569  False                      1
  570  False                      2
  571  False                      5
  572  False                      2
  573  False                      9
  574  False                      1
  575  False                    193
  576  False                     33
  577  False                      4
  578  False                      3
  579  False                      3
  580  False                      7
  581  False                     48
  582  False                      1
  583  False                     11
  584  False                      6
  585  False                      1
  586  False                      2
  587  False                      1
  588  False                      2
  589  False                      6
  590  False                     18
  591  False                      9
  592  False                      3
  593  False                      2
  594  False                      2
  595  False                      2
  596  False                      3
  597  False                      8
  598  False                      1
  599  False                      5
  600  False                      1
  601  False                      1
  602  False                      1
  603  False                      8
  604  False                      2
  605  False                      1
  606  False                      6
  607  False                      2
  608  False                      4
  609  False                      2
  610  False                      2
  611  False                      1
  612  False                      2
  613  False                      4
  614  False                      2
  615  False                      2
  616  False                      2
  617  False                     20
  618  False                      9
  619  False                      2
  620  False                      1
  621  False                     10
  622  False                      6
  623  False                      2
  624  False                      2
  625  False                      2
  626  False                      2
  627  False                      2
  628  False                     15
  629  False                      3
  630  False                      1
  631  False                      2
  632  False                      1
  633  False                      2
  634  False                      4
  635  False                      6
  636  False                     27
  637  False                      3
  638  False                      4
  639  False                      2
  640  False                      2
  641  False                      7
  642  False                      1
  643  False                      3
  644  False                     18
  645  False                      2
  646  False                      4
  647  False                      2
  648  False                      1
